TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/de/retokenized/Wecklein1894_0008.xmi
# hipe2022:license = CC-BY
# hipe2022:language = de
# hipe2022:document_type = commentary
# hipe2022:document_id = Wecklein1894_0008
# hipe2022:date = 1894-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
# ajmc:title = Sophokleus Aias
# ajmc:publication_place = München
# ajmc:publication_date = 1894
# ajmc:page = 8
# ajmc:author = Wecklein, Nikolaus
Leiche	O	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_
Achilleus	B-pers	_	_	_	_	_	_	_
ſich	O	_	_	_	_	_	_	_
unterhalten	O	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_
ſchließlich	O	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_
That	O	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_
Odyſſeus	B-pers	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_
Vorzug	O	_	_	_	_	_	_	_
geben	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	EndOfSentence
Darnach	O	_	_	_	_	_	_	_
wird	O	_	_	_	_	_	_	_
entſchieden	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	EndOfSentence
Im	O	_	_	_	_	_	_	_
Unwillen	O	_	_	_	_	_	_	_
wird	O	_	_	_	_	_	_	_
Aias	B-pers	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_
Wahnſinn	O	_	_	_	_	_	_	_
befallen	O	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_
will	O	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_
Wut	O	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_
