TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/fr/retokenized/lestragdiesdeso00tourgoog_0064.xmi
# hipe2022:license = CC-BY
# hipe2022:language = fr
# hipe2022:document_type = commentary
# hipe2022:document_id = lestragdiesdeso00tourgoog_0064
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
ton	O	_	_	_	_	_	_	_
bras	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	EndOfSentence
L	O	_	_	_	_	_	_	NoSpaceAfter
’	O	_	_	_	_	_	_	NoSpaceAfter
accusatif	O	_	_	_	_	_	_	_
yépæ	O	_	_	_	_	_	_	_
tient	O	_	_	_	_	_	_	_
ici	O	_	_	_	_	_	_	_
la	O	_	_	_	_	_	_	_
place	O	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_
aliyuñv	O	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_
régulièrement	O	_	_	_	_	_	_	_
joint	O	_	_	_	_	_	_	_
à	O	_	_	_	_	_	_	_
aiypaLetv	O	_	_	_	_	_	_	NoSpaceAfter
dans	O	_	_	_	_	_	_	_
Homère	B-pers	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	EndOfSentence
Euripide	B-pers	_	_	_	_	_	_	_
a	O	_	_	_	_	_	_	_
dit	O	_	_	_	_	_	_	_
avec	O	_	_	_	_	_	_	_
une	O	_	_	_	_	_	_	_
égale	O	_	_	_	_	_	_	_
hardiesse	O	_	_	_	_	_	_	_
χεῖρας	O	_	_	_	_	_	_	_
EtrxovtLoa	O	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	NoSpaceAfter
Iphig	B-pers	_	_	_	_	_	_	NoSpaceAfter
.	I-pers	_	_	_	_	_	_	_
Taur	B-work	_	_	_	_	_	_	NoSpaceAfter
.	I-work	_	_	_	_	_	_	_
362	B-scope	_	_	_	_	_	_	NoSpaceAfter
)	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	EndOfSentence
404	O	_	_	_	_	_	_	NoSpaceAfter
-	O	_	_	_	_	_	_	NoSpaceAfter
102	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
Εἶεν	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
Le	O	_	_	_	_	_	_	_
Scholiaste	O	_	_	_	_	_	_	_
d	O	_	_	_	_	_	_	NoSpaceAfter
’	O	_	_	_	_	_	_	NoSpaceAfter
Euripide	B-pers	_	_	_	_	_	_	_
“	O	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	NoSpaceAfter
Phéniciennes	B-work	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_
849	B-scope	_	_	_	_	_	_	NoSpaceAfter
)	O	_	_	_	_	_	_	_
explique	O	_	_	_	_	_	_	_
ce	O	_	_	_	_	_	_	_
mot	O	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_
la	O	_	_	_	_	_	_	_
manière	O	_	_	_	_	_	_	_
suivante	O	_	_	_	_	_	_	_
:	O	_	_	_	_	_	_	_
Elev	O	_	_	_	_	_	_	_
Étippnua	O	_	_	_	_	_	_	_
toù	O	_	_	_	_	_	_	_
μὲν	O	_	_	_	_	_	_	_
Tpotépou	O	_	_	_	_	_	_	_
Aoyou	O	_	_	_	_	_	_	_
Anxtixdv	O	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_
